;Date;TypeA;TypeB;TypeC;TypeD;TypeE;TypeG;Organic;Year;Sales;City;AveragePrice;format
0;27/12/2017;1037;54455;48;8604;93;0;conventional;2017;Edelyn;Bandung;17290;minimarket
1;20/12/2017;674;44639;58;9408;97;0;conventional;2017;Clarissa;Makassar;17550;minimarket
2;13/12/2017;795;109150;131;8042;103;0;conventional;2017;Viola;Bandung;12090;minimarket
3;06/12/2017;1132;71976;73;5677;134;0;conventional;2017;Clarissa;Medan;14040;minimarket
4;29/11/2017;941;43838;76;5986;198;0;conventional;2017;Viola;Bandung;16640;minimarket
5;22/11/2017;1184;48068;44;6556;127;0;conventional;2017;Mei;Bandung;16380;minimarket
6;15/11/2017;1369;73673;93;8197;122;0;conventional;2017;Viola;BalikPapan;12870;minimarket
7;08/11/2017;704;101815;80;6267;562;0;conventional;2017;Viola;Jakarta;12740;minimarket
8;01/11/2017;1022;87316;85;11105;284;0;conventional;2017;Viola;Jayapura;13260;minimarket
9;25/10/2017;842;64757;113;8061;564;0;conventional;2017;Clarissa;Surabaya;13910;minimarket
10;18/10/2017;925;75596;117;7878;328;0;conventional;2017;Viola;Surabaya;14560;minimarket
11;11/10/2017;1582;52678;105;9866;258;0;conventional;2017;Viola;Jayapura;16640;minimarket
12;04/10/2017;2268;49881;101;8380;377;0;conventional;2017;Mei;Palembang;17030;minimarket
13;27/09/2017;1205;99409;155;5889;146;0;conventional;2017;Clarissa;BalikPapan;12870;minimarket
14;20/09/2017;1028;59313;151;8489;778;0;conventional;2017;Viola;Jayapura;17290;minimarket
15;13/09/2017;986;65697;142;8665;621;0;conventional;2017;Viola;Medan;16640;minimarket
16;06/09/2017;879;90063;241;7763;227;0;conventional;2017;Edelyn;Surabaya;14430;minimarket
17;30/08/2017;689;94363;335;10219;88;0;conventional;2017;Edelyn;Jakarta;13910;minimarket
18;23/08/2017;733;67934;445;10746;135;0;conventional;2017;Clarissa;BalikPapan;17420;minimarket
19;16/08/2017;540;68666;395;10298;146;0;conventional;2017;Edelyn;Jakarta;17290;minimarket
